id,title,url,category,topics,formats,description,active
34,وزارت صنعت، معدن و تجارت,https://www.mimt.gov.ir/,government,اقتصادی,pdf,تعداد واحدهای صنعتی و تجاری، رشد اقتصادی گروه‌های مختلف اقتصادی،  تولید داخلی و ...,True
35,سامانه پایش کیفی هوای کشور,https://aqms.doe.ir/,government,شاخص کیفیت هوای کشور,-,شاخص و آلاینده‌های هوا به تفکیک ایستگاه‌های هواشناسی کشور,True
36,شرکت کنترل کیفیت هوای تهران,https://airnow.tehran.ir/,government,شاخص کیفیت هوای تهران,-,شاخص و آلاینده‌های هوا به تفکیک ایستگاه‌های هواشناسی کشور,True
37,سازمان غذا و دارو,https://www.fda.gov.ir/,government,پزشکی,"xlsx, pdf",دارو، فرآورده‌های غذایی، آرایشی و بهداشتی، مرجع کنترل دارو و ...,True
38,معاونت درمان وزارت بهداشت درمان و آموزش پزشکی,https://avab.behdasht.gov.ir/hospital/,government,لیست بیمارستان‌های کشور,-,,True
39,مدیریت فناوری بورس تهران,https://www.tsetmc.com/,government,اقتصادی,-,وضعیت بازار بورس، سهام، شرکت‌ها، گروه‌های صنعتی در بازار بورس,True
40,فرابورس ایران,https://www.ifb.ir/,government,اقتصادی,-,وضعیت بازار بورس، سهام، شرکت‌ها، گروه‌های صنعتی در بازار فرابورس,True
41,بورس کالای ایران,https://www.ime.co.ir/,government,اقتصادی,"xlsx, pdf",وضعیت بازار بورس، سهام، شرکت‌ها، گروه‌های صنعتی در بازار بورس کالای ایران,True
42,مدیریت پژوهش، توسعه و مطالعات اسلامی,https://rdis.seo.ir/fa/,government,اقتصادی,"xlsx, pdf",گزارش آماری بازارسرمایه،  شاخص سود نقدی شرکت‌ها و ... . ذیل سازمان و اوراق بهادار,True
43,بورس انرژی ایران,https://iee.ir/,government,اقتصادی,xlsx,گزارش  آماری بازار بورس انرژی (برق، مشتقه، فیزیکی),True
44,روزنامه رسمی,https://www.rrk.ir/News/NewsList.aspx,government,اقتصادی,,آگهی‌های ثبتی تاسیس و تغییرات شرکت‌ها و علائم تجاری,True
45,سامانه شفافیت کمیته امداد,https://www.emdad.ir/fa/shafaf,government,-,pdf,آمار عملکرد و گزارش سالانه کمیته امداد,True
46,پایگاه داده های علوم زمین,https://www.ngdir.ir/,government,-,-,زیر نظر سازمان زمین‌شناسی و اکتشافات معدنی کشور,True
47,مرکز آمار وزارت جهاد کشاورزی,https://new-dpe.maj.ir/amar,government,کشاورزی,"pdf, داشبورد",واردات و صادرات، اطلاعات مربوط به محصولات و ...,True
48,بیمه مرکزی ایران,https://centinsur.ir/fa-IR/Portal/1/page/%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%D8%B5%D9%84%DB%8C,government,بیمه,"pdf, xslx",آمار کلیه بیمه‌های صادر شده و خسارت‌های پرداخت شده,True
49,سامانه راهداری و حمل و نقل جاده‌ای,https://www.rmto.ir/,government,حمل و نقل,pdf,گزارش تردد و حمل و نقل مسافر،‌کالا، راه‌ها، دوربین‌های نظارتی و ترددشمار و ...,True
50,سامانه راهداری - تعداد سفرها و مسافران برون‌مرزی در راه‌های زمینی,https://rmto.ir/fa/page/105864-%D8%B3%D8%A7%D9%84%D9%86%D8%A7%D9%85%D9%87-%D8%A2%D9%85%D8%A7%D8%B1%DB%8C-%D8%AD%D9%85%D9%84-%D9%86%D9%82%D9%84-%D8%AC%D8%A7%D8%AF%D9%87-%D8%A7%DB%8C.html,government,اقتصادی-اجتماعی,pdf,تردد وسایل نقلیه‌ی مسافری حامل مسافر از مرزهای جاده‌ای، تعداد سفر و مسافر جابه‌جاشده بر حسب مرز و ملیت مسافر، تعداد سفر و مسافر ورودی بر حسب نوع و ملیت وسیله، تعداد سفر و مسافر خروجی بر حسب نوع و ملیت وسیله، تعداد سفر و مسافر ترانزیت‌شده,True
51,مرکز داده‌های باز سازمان بهره‌وری,https://www.npo.gov.ir/opendata/,government,*,xls,داده‌های دسته اول و محاسباتی,True
52,سازمان میراث، فرهنگی، گردشگری و صنایع دستی,https://mcth.ir,government,گردشگری، موزه ، اقامتگاه‌ها، آمار مسافران به کشور به تفکیک مرز زمینی و هوایی و دریایی، میراث فرهنگی و صنایع دستی,,,True
53,سالنامه آماری شهرداری تهران,https://tmicto.tehran.ir/%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1%D8%A7%D8%AA-%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%863/%D8%A2%D9%85%D8%A7%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D8%B4%D9%87%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86,government,*,pdf,,True
54,واحدهای صنعتی فعال در کشور,https://www.mimt.gov.ir/fa/general_content/162128.html,government,اقتصادی,xlsx,وزارت صنعت، معدن و تجارت,True
55,سامان ثبت اسناد  و شرکت‌ها,https://sherkat.ssaa.ir/,government,مرچع اطلاعات در مورد شرکت‌ها,,,True
56,ایران کد,https://www.irancode.ir/,government,اقتصادی - خدماتی- تولیدی,,نظام ملی طبقه‌بندی و شماره‌گذاری کالا و خدمات در ایران,True
57,سامانه جامع تجارت,https://www.ntsw.ir/,government,تولیدی- اقتصادی,,شناسه کالا‌ها  و محصولات,True
58,مرکز مبادله ارز و طلای ایران,https://ice.ir/,government,اقتصادی,"xlsx, chart",نرخ ارز و طلای دولتی,True
59,سازمان تنظیم مقررات و ارتباطات رادیویی,https://opendata.cra.ir/,government,توسعه - زیرساخت-اینترنت,داشبورد,گزارش‌های فصلی و سالانه در حوزه‌های توسعه تلفن ثابت، همراه، پست و اینترنت (تعداد مشترکین،ضریب نفوذ و ... به تفکیک سال/فصل از ۱۳۹۵),True
60,(شرکت فرودگاه‌ها و ناوبری هوایی ایران,https://statistics.airport.ir/7,government,تعداد سفر و مسافر و ...,pdf,تعداد ماهانه‌ی نشست و برخاست هواپیما؛ به‌تفکیک فرودگاه‌های کشور، به‌تفکیک شرکت‌های هواپیمایی. تعداد ماهانه‌ی مسافرهای ورودی و خروجی به‌تفکیک فرودگاه‌های کشور، تعداد ماهانه‌ی مسافرها به‌تفکیک شرکت‌های هواپیمایی، تعداد مسافر و سفر به‌تفکیک فرودگاه‌های مبدأ و مقصد- از سال ۱۳۸۸,True
61,سازمان هواپیمایی کشوری,https://caa.gov.ir/air-transport-annual-report,government,تعداد سفر و مسافر و ...,pdf,تعداد ماهانه‌ی نشست و برخاست هواپیما؛ به‌تفکیک فرودگاه‌های کشور، به‌تفکیک شرکت‌های هواپیمایی. تعداد ماهانه‌ی مسافرهای ورودی و خروجی به‌تفکیک فرودگاه‌های کشور، تعداد ماهانه‌ی مسافرها به‌تفکیک شرکت‌های هواپیمایی، تعداد مسافر و سفر به‌تفکیک فرودگاه‌های مبدأ و مقصد- از سال ۱۳۸۴,True
62,شرکت راه آهن جمهوری اسلامی ایران,https://www.rai.ir/page-karshenasan/fa/0,government,سفرهای ریلی,,تعداد ماهانه مسافر جابه‌جاشده از مبدأ به‌تفکیک مناطق- تواتر سالانه با شروع از سال ۱۳۸۰,True
63,سازمان سینمایی کشور,https://apf.farhang.gov.ir/fa/teaching/statisticdep,government,سینما,pdf,سالنامه‌ها و ماهنامه‌های فروش فیلم و تعداد مخاطبان,True
